dataset,column,dtype,n_unique,n_missing,example,is_label,role,drop_reason
CIC-IoT2023,Max,float64,35206,0,54.54,False,keep,
CIC-IoT2023,AVG,float64,191887,0,54.03467173873598,False,keep,
CIC-IoT2023,Std,float64,179296,0,0.131849806961255,False,keep,
CIC-IoT2023,Tot size,float64,37423,0,54.06,False,keep,
CIC-IoT2023,IAT,float64,1168436,0,83034073.92610914,False,keep,
CIC-IoT2023,Number,float64,94,0,9.5,False,keep,
CIC-IoT2023,Magnitue,float64,187901,0,10.395650192973603,False,keep,
CIC-IoT2023,Radius,float64,173380,0,0.186917911613027,False,keep,
CIC-IoT2023,Covariance,float64,174324,0,0.1951533929428729,False,keep,
CIC-IoT2023,Variance,float64,374,0,0.09,False,keep,
CIC-IoT2023,Weight,float64,100,0,141.55,False,keep,
CIC-IoT2023,label,object,34,0,DDoS-TCP_Flood,True,label,
TON_IoT (Network),src_ip,object,51,0,192.168.1.37,False,drop,leaky identifier
TON_IoT (Network),src_port,int64,26628,0,4444,False,drop,leaky identifier
TON_IoT (Network),dst_ip,object,753,0,192.168.1.193,False,drop,leaky identifier
TON_IoT (Network),dst_port,int64,2039,0,49178,False,drop,leaky identifier
TON_IoT (Network),proto,object,3,0,tcp,False,keep,
TON_IoT (Network),service,object,9,0,-,False,keep,
TON_IoT (Network),duration,float64,68570,0,290.371539,False,keep,
TON_IoT (Network),src_bytes,int64,2199,0,101568,False,keep,
TON_IoT (Network),dst_bytes,int64,2338,0,2592,False,keep,
TON_IoT (Network),conn_state,object,13,0,OTH,False,keep,
TON_IoT (Network),missed_bytes,int64,694,0,0,False,keep,
TON_IoT (Network),src_pkts,int64,274,0,108,False,keep,
TON_IoT (Network),src_ip_bytes,int64,3648,0,108064,False,keep,
TON_IoT (Network),dst_pkts,int64,203,0,31,False,keep,
TON_IoT (Network),dst_ip_bytes,int64,3304,0,3832,False,keep,
TON_IoT (Network),dns_query,object,726,0,-,False,keep,
TON_IoT (Network),dns_qclass,int64,3,0,0,False,keep,
TON_IoT (Network),dns_qtype,int64,12,0,0,False,keep,
TON_IoT (Network),dns_rcode,int64,4,0,0,False,keep,
TON_IoT (Network),dns_AA,object,3,0,-,False,keep,
TON_IoT (Network),dns_RD,object,3,0,-,False,keep,
TON_IoT (Network),dns_RA,object,3,0,-,False,keep,
TON_IoT (Network),dns_rejected,object,3,0,-,False,keep,
TON_IoT (Network),ssl_version,object,4,0,-,False,keep,
TON_IoT (Network),ssl_cipher,object,6,0,-,False,keep,
TON_IoT (Network),ssl_resumed,object,3,0,-,False,keep,
TON_IoT (Network),ssl_established,object,3,0,-,False,keep,
TON_IoT (Network),ssl_subject,object,6,0,-,False,keep,
TON_IoT (Network),ssl_issuer,object,5,0,-,False,keep,
TON_IoT (Network),http_trans_depth,object,11,0,-,False,keep,
TON_IoT (Network),http_method,object,4,0,-,False,keep,
TON_IoT (Network),http_uri,object,86,0,-,False,keep,
TON_IoT (Network),http_version,object,2,0,-,False,keep,
TON_IoT (Network),http_request_body_len,int64,6,0,0,False,keep,
TON_IoT (Network),http_response_body_len,int64,75,0,0,False,keep,
TON_IoT (Network),http_status_code,int64,8,0,0,False,keep,
TON_IoT (Network),http_user_agent,object,35,0,-,False,keep,
TON_IoT (Network),http_orig_mime_types,object,3,0,-,False,keep,
TON_IoT (Network),http_resp_mime_types,object,10,0,-,False,keep,
TON_IoT (Network),weird_name,object,11,0,-,False,keep,
TON_IoT (Network),weird_addl,object,3,0,-,False,keep,
TON_IoT (Network),weird_notice,object,2,0,-,False,keep,
TON_IoT (Network),label,int64,2,0,1,True,label,
TON_IoT (Network),type,object,10,0,backdoor,True,label,
BoT-IoT,pkSeqID,int64,210000,0,1,False,drop,leaky identifier
BoT-IoT,stime,float64,169097,0,1526344121.188091,False,drop,leaky identifier
BoT-IoT,flgs,object,7,0,e,False,keep,
BoT-IoT,proto,object,5,0,arp,False,keep,
BoT-IoT,saddr,object,21,0,192.168.100.1,False,drop,leaky identifier
BoT-IoT,sport,object,67443,55,139,False,drop,leaky identifier
BoT-IoT,daddr,object,40,0,192.168.100.3,False,drop,leaky identifier
BoT-IoT,dport,object,30423,55,36390,False,drop,leaky identifier
BoT-IoT,pkts,int64,93,0,4,False,keep,
BoT-IoT,bytes,int64,592,0,240,False,keep,
BoT-IoT,state,object,8,0,CON,False,keep,
BoT-IoT,ltime,float64,154804,0,1526345317.184693,False,drop,leaky identifier
BoT-IoT,seq,int64,139645,0,9,False,drop,leaky identifier
BoT-IoT,dur,float64,49212,0,1195.996582,False,keep,
BoT-IoT,mean,float64,41152,0,6e-06,False,keep,
BoT-IoT,stddev,float64,21167,0,2e-06,False,keep,
BoT-IoT,smac,float64,1,210000,,False,drop,zero-variance / empty
BoT-IoT,dmac,float64,1,210000,,False,drop,zero-variance / empty
BoT-IoT,sum,float64,59192,0,1.1e-05,False,keep,
BoT-IoT,min,float64,30925,0,4e-06,False,keep,
BoT-IoT,max,float64,48080,0,7e-06,False,keep,
BoT-IoT,soui,float64,1,210000,,False,drop,zero-variance / empty
BoT-IoT,doui,float64,1,210000,,False,drop,zero-variance / empty
BoT-IoT,sco,float64,1,210000,,False,drop,zero-variance / empty
BoT-IoT,dco,float64,1,210000,,False,drop,zero-variance / empty
BoT-IoT,spkts,int64,65,0,2,False,keep,
BoT-IoT,dpkts,int64,49,0,2,False,keep,
BoT-IoT,sbytes,int64,427,0,120,False,keep,
BoT-IoT,dbytes,int64,344,0,120,False,keep,
BoT-IoT,rate,float64,22429,0,0.002508,False,keep,
BoT-IoT,srate,float64,9549,0,0.000836,False,keep,
BoT-IoT,drate,float64,4218,0,0.000836,False,keep,
BoT-IoT,attack,int64,2,0,0,True,label,
BoT-IoT,category,object,4,0,Normal,True,label,
BoT-IoT,subcategory,object,4,0,Normal,True,label,
Edge-IIoTset (ML),frame.time,object,155186,0,6.0,False,keep,
Edge-IIoTset (ML),ip.src_host,object,19090,0,192.168.0.152,False,keep,
Edge-IIoTset (ML),ip.dst_host,object,8084,0,0.0,False,keep,
Edge-IIoTset (ML),arp.dst.proto_ipv4,object,8,0,0.0,False,keep,
Edge-IIoTset (ML),arp.opcode,float64,3,0,0.0,False,keep,
Edge-IIoTset (ML),arp.hw.size,float64,2,0,0.0,False,keep,
Edge-IIoTset (ML),arp.src.proto_ipv4,object,8,0,0.0,False,keep,
Edge-IIoTset (ML),icmp.checksum,float64,13187,0,0.0,False,keep,
Edge-IIoTset (ML),icmp.seq_le,float64,13824,0,0.0,False,keep,
Edge-IIoTset (ML),icmp.transmit_timestamp,float64,84,0,0.0,False,keep,
Edge-IIoTset (ML),icmp.unused,float64,1,0,0.0,False,drop,zero-variance / empty
Edge-IIoTset (ML),http.file_data,object,496,0,0.0,False,keep,
Edge-IIoTset (ML),http.content_length,float64,33,0,0.0,False,keep,
Edge-IIoTset (ML),http.request.uri.query,object,1665,0,0.0,False,keep,
Edge-IIoTset (ML),http.request.method,object,6,0,0.0,False,keep,
Edge-IIoTset (ML),http.referer,object,4,0,0.0,False,keep,
Edge-IIoTset (ML),http.request.full_uri,object,4073,0,0.0,False,keep,
Edge-IIoTset (ML),http.request.version,object,8,0,0,False,keep,
Edge-IIoTset (ML),http.response,float64,2,0,0.0,False,keep,
Edge-IIoTset (ML),http.tls_port,float64,1,0,0.0,False,drop,zero-variance / empty
Edge-IIoTset (ML),tcp.ack,float64,27929,0,0.0,False,keep,
Edge-IIoTset (ML),tcp.ack_raw,float64,94716,0,0.0,False,keep,
Edge-IIoTset (ML),tcp.checksum,float64,55513,0,0.0,False,keep,
Edge-IIoTset (ML),tcp.connection.fin,float64,2,0,0.0,False,keep,
Edge-IIoTset (ML),tcp.connection.rst,float64,2,0,0.0,False,keep,
Edge-IIoTset (ML),tcp.connection.syn,float64,2,0,0.0,False,keep,
Edge-IIoTset (ML),tcp.connection.synack,float64,2,0,0.0,False,keep,
Edge-IIoTset (ML),tcp.dstport,float64,23188,0,0.0,False,keep,
Edge-IIoTset (ML),tcp.flags,float64,9,0,0.0,False,keep,
Edge-IIoTset (ML),tcp.flags.ack,float64,2,0,0.0,False,keep,
Edge-IIoTset (ML),tcp.len,float64,786,0,0.0,False,keep,
Edge-IIoTset (ML),tcp.options,object,73139,0,0.0,False,keep,
Edge-IIoTset (ML),tcp.payload,object,27369,0,0.0,False,keep,
Edge-IIoTset (ML),tcp.seq,float64,18199,0,0.0,False,keep,
Edge-IIoTset (ML),tcp.srcport,object,32186,0,0,False,keep,
Edge-IIoTset (ML),udp.port,float64,32,0,0.0,False,keep,
Edge-IIoTset (ML),udp.stream,float64,14492,0,0.0,False,keep,
Edge-IIoTset (ML),udp.time_delta,float64,39,0,0.0,False,keep,
Edge-IIoTset (ML),dns.qry.name,float64,1430,0,0.0,False,keep,
Edge-IIoTset (ML),dns.qry.name.len,object,8,0,0.0,False,keep,
Edge-IIoTset (ML),dns.qry.qu,float64,66,0,0.0,False,keep,
Edge-IIoTset (ML),dns.qry.type,float64,1,0,0.0,False,drop,zero-variance / empty
Edge-IIoTset (ML),dns.retransmission,float64,4,0,0.0,False,keep,
Edge-IIoTset (ML),dns.retransmit_request,float64,2,0,0.0,False,keep,
Edge-IIoTset (ML),dns.retransmit_request_in,float64,1,0,0.0,False,drop,zero-variance / empty
Edge-IIoTset (ML),mqtt.conack.flags,object,3,0,0.0,False,keep,
Edge-IIoTset (ML),mqtt.conflag.cleansess,float64,2,0,0.0,False,keep,
Edge-IIoTset (ML),mqtt.conflags,float64,2,0,0.0,False,keep,
Edge-IIoTset (ML),mqtt.hdrflags,float64,5,0,0.0,False,keep,
Edge-IIoTset (ML),mqtt.len,float64,4,0,0.0,False,keep,
Edge-IIoTset (ML),mqtt.msg_decoded_as,float64,1,0,0.0,False,drop,zero-variance / empty
Edge-IIoTset (ML),mqtt.msg,object,117,0,0.0,False,keep,
Edge-IIoTset (ML),mqtt.msgtype,float64,5,0,0.0,False,keep,
Edge-IIoTset (ML),mqtt.proto_len,float64,2,0,0.0,False,keep,
Edge-IIoTset (ML),mqtt.protoname,object,3,0,0.0,False,keep,
Edge-IIoTset (ML),mqtt.topic,object,3,0,0.0,False,keep,
Edge-IIoTset (ML),mqtt.topic_len,float64,2,0,0.0,False,keep,
Edge-IIoTset (ML),mqtt.ver,float64,2,0,0.0,False,keep,
Edge-IIoTset (ML),mbtcp.len,float64,1,0,0.0,False,drop,zero-variance / empty
Edge-IIoTset (ML),mbtcp.trans_id,float64,1,0,0.0,False,drop,zero-variance / empty
Edge-IIoTset (ML),mbtcp.unit_id,float64,1,0,0.0,False,drop,zero-variance / empty
Edge-IIoTset (ML),Attack_label,int64,2,0,1,True,label,
Edge-IIoTset (ML),Attack_type,object,15,0,MITM,True,label,
UNSW-NB15 (ML-ready),id,int64,175341,0,1,False,drop,identifier
UNSW-NB15 (ML-ready),dur,float64,109945,0,1.1e-05,False,keep,
UNSW-NB15 (ML-ready),proto,object,133,0,udp,False,keep,
UNSW-NB15 (ML-ready),service,object,13,0,-,False,keep,
UNSW-NB15 (ML-ready),state,object,11,0,INT,False,keep,
UNSW-NB15 (ML-ready),spkts,int64,646,0,2,False,keep,
UNSW-NB15 (ML-ready),dpkts,int64,627,0,0,False,keep,
UNSW-NB15 (ML-ready),sbytes,int64,9382,0,496,False,keep,
UNSW-NB15 (ML-ready),dbytes,int64,8653,0,0,False,keep,
UNSW-NB15 (ML-ready),rate,float64,115763,0,90909.0902,False,keep,
UNSW-NB15 (ML-ready),sttl,int64,13,0,254,False,keep,
UNSW-NB15 (ML-ready),dttl,int64,9,0,0,False,keep,
UNSW-NB15 (ML-ready),sload,float64,121356,0,180363632.0,False,keep,
UNSW-NB15 (ML-ready),dload,float64,116380,0,0.0,False,keep,
UNSW-NB15 (ML-ready),sloss,int64,490,0,0,False,keep,
UNSW-NB15 (ML-ready),dloss,int64,476,0,0,False,keep,
UNSW-NB15 (ML-ready),sinpkt,float64,114318,0,0.011,False,keep,
UNSW-NB15 (ML-ready),dinpkt,float64,110270,0,0.0,False,keep,
UNSW-NB15 (ML-ready),sjit,float64,117101,0,0.0,False,keep,
UNSW-NB15 (ML-ready),djit,float64,114861,0,0.0,False,keep,
UNSW-NB15 (ML-ready),swin,int64,22,0,0,False,keep,
UNSW-NB15 (ML-ready),stcpb,int64,114473,0,0,False,keep,
UNSW-NB15 (ML-ready),dtcpb,int64,114187,0,0,False,keep,
UNSW-NB15 (ML-ready),dwin,int64,19,0,0,False,keep,
UNSW-NB15 (ML-ready),tcprtt,float64,63878,0,0.0,False,keep,
UNSW-NB15 (ML-ready),synack,float64,57366,0,0.0,False,keep,
UNSW-NB15 (ML-ready),ackdat,float64,53248,0,0.0,False,keep,
UNSW-NB15 (ML-ready),smean,int64,1377,0,248,False,keep,
UNSW-NB15 (ML-ready),dmean,int64,1362,0,0,False,keep,
UNSW-NB15 (ML-ready),trans_depth,int64,14,0,0,False,keep,
UNSW-NB15 (ML-ready),response_body_len,int64,2819,0,0,False,keep,
UNSW-NB15 (ML-ready),ct_srv_src,int64,57,0,2,False,keep,
UNSW-NB15 (ML-ready),ct_state_ttl,int64,7,0,2,False,keep,
UNSW-NB15 (ML-ready),ct_dst_ltm,int64,52,0,1,False,keep,
UNSW-NB15 (ML-ready),ct_src_dport_ltm,int64,52,0,1,False,keep,
UNSW-NB15 (ML-ready),ct_dst_sport_ltm,int64,35,0,1,False,keep,
UNSW-NB15 (ML-ready),ct_dst_src_ltm,int64,58,0,2,False,keep,
UNSW-NB15 (ML-ready),is_ftp_login,int64,4,0,0,False,keep,
UNSW-NB15 (ML-ready),ct_ftp_cmd,int64,4,0,0,False,keep,
UNSW-NB15 (ML-ready),ct_flw_http_mthd,int64,11,0,0,False,keep,
UNSW-NB15 (ML-ready),ct_src_ltm,int64,52,0,1,False,keep,
UNSW-NB15 (ML-ready),ct_srv_dst,int64,57,0,2,False,keep,
UNSW-NB15 (ML-ready),is_sm_ips_ports,int64,2,0,0,False,keep,
UNSW-NB15 (ML-ready),attack_cat,object,10,0,Normal,True,label,
UNSW-NB15 (ML-ready),label,int64,2,0,0,True,label,
UNSW-NB15 (raw 4-part),srcip,object,41,0,59.166.0.0,False,drop,leaky identifier
UNSW-NB15 (raw 4-part),sport,object,86856,0,1390,False,drop,leaky identifier
UNSW-NB15 (raw 4-part),dstip,object,45,0,149.171.126.6,False,drop,leaky identifier
UNSW-NB15 (raw 4-part),dsport,object,40090,0,53,False,drop,leaky identifier
UNSW-NB15 (raw 4-part),proto,object,133,0,udp,False,keep,
UNSW-NB15 (raw 4-part),state,object,14,0,CON,False,keep,
UNSW-NB15 (raw 4-part),dur,float64,91712,0,0.001055,False,keep,
UNSW-NB15 (raw 4-part),sbytes,int64,3413,0,132,False,keep,
UNSW-NB15 (raw 4-part),dbytes,int64,3048,0,164,False,keep,
UNSW-NB15 (raw 4-part),sttl,int64,13,0,31,False,keep,
UNSW-NB15 (raw 4-part),dttl,int64,9,0,29,False,keep,
UNSW-NB15 (raw 4-part),sloss,int64,177,0,0,False,keep,
UNSW-NB15 (raw 4-part),dloss,int64,338,0,0,False,keep,
UNSW-NB15 (raw 4-part),service,object,13,0,dns,False,keep,
UNSW-NB15 (raw 4-part),Sload,float64,115622,0,500473.9375,False,keep,
UNSW-NB15 (raw 4-part),Dload,float64,114900,0,621800.9375,False,keep,
UNSW-NB15 (raw 4-part),Spkts,int64,475,0,2,False,keep,
UNSW-NB15 (raw 4-part),Dpkts,int64,502,0,2,False,keep,
UNSW-NB15 (raw 4-part),swin,int64,4,0,0,False,keep,
UNSW-NB15 (raw 4-part),dwin,int64,5,0,0,False,keep,
UNSW-NB15 (raw 4-part),stcpb,int64,115598,0,0,False,keep,
UNSW-NB15 (raw 4-part),dtcpb,int64,115555,0,0,False,keep,
UNSW-NB15 (raw 4-part),smeansz,int64,1011,0,66,False,keep,
UNSW-NB15 (raw 4-part),dmeansz,int64,1025,0,82,False,keep,
UNSW-NB15 (raw 4-part),trans_depth,int64,7,0,0,False,keep,
UNSW-NB15 (raw 4-part),res_bdy_len,int64,649,0,0,False,keep,
UNSW-NB15 (raw 4-part),Sjit,float64,116572,0,0.0,False,keep,
UNSW-NB15 (raw 4-part),Djit,float64,121293,0,0.0,False,keep,
UNSW-NB15 (raw 4-part),Stime,int64,6986,0,1421927414,False,drop,leaky identifier
UNSW-NB15 (raw 4-part),Ltime,int64,6957,0,1421927414,False,drop,leaky identifier
UNSW-NB15 (raw 4-part),Sintpkt,float64,107873,0,0.017,False,keep,
UNSW-NB15 (raw 4-part),Dintpkt,float64,106449,0,0.013,False,keep,
UNSW-NB15 (raw 4-part),tcprtt,float64,10859,0,0.0,False,keep,
UNSW-NB15 (raw 4-part),synack,float64,10133,0,0.0,False,keep,
UNSW-NB15 (raw 4-part),ackdat,float64,9045,0,0.0,False,keep,
UNSW-NB15 (raw 4-part),is_sm_ips_ports,int64,2,0,0,False,keep,
UNSW-NB15 (raw 4-part),ct_state_ttl,int64,6,0,0,False,keep,
UNSW-NB15 (raw 4-part),ct_flw_http_mthd,float64,6,92691,0.0,False,keep,
UNSW-NB15 (raw 4-part),is_ftp_login,float64,4,98452,0.0,False,keep,
UNSW-NB15 (raw 4-part),ct_ftp_cmd,object,8,0,0,False,keep,
UNSW-NB15 (raw 4-part),ct_srv_src,int64,58,0,3,False,keep,
UNSW-NB15 (raw 4-part),ct_srv_dst,int64,58,0,7,False,keep,
UNSW-NB15 (raw 4-part),ct_dst_ltm,int64,50,0,1,False,keep,
UNSW-NB15 (raw 4-part),ct_src_ ltm,int64,50,0,3,False,keep,
UNSW-NB15 (raw 4-part),ct_src_dport_ltm,int64,50,0,1,False,keep,
UNSW-NB15 (raw 4-part),ct_dst_sport_ltm,int64,31,0,1,False,keep,
UNSW-NB15 (raw 4-part),ct_dst_src_ltm,int64,58,0,1,False,keep,
UNSW-NB15 (raw 4-part),attack_cat,object,14,173657,Exploits,True,label,
UNSW-NB15 (raw 4-part),Label,int64,2,0,0,True,label,
