dataset,source_kind,alpha,n_cal,k,q,m_test,false_flags,fzr_observed,fzr_expected,band_level,band_lo_rate,band_hi_rate,p_value_upper,expectation_ok,finite_sample_ok,conservative_note,verdict,known_coverage,zeroday_n,zeroday_rejection_rate
CICIoT2023,dummy,0.11,18883,16807,0.237268,18883,2087,0.110523,0.109987,0.99,0.101785,0.118413,0.434745,False,True,False,PASS,0.889477,10984,1.0
CICIoT2023,dummy,0.12,18883,16618,0.230925,18883,2278,0.120638,0.119996,0.99,0.111476,0.12874,0.424726,False,True,False,PASS,0.879362,10984,1.0
CICIoT2023,dummy,0.13,18883,16430,0.224331,18883,2483,0.131494,0.129951,0.99,0.121167,0.138961,0.328987,False,True,False,PASS,0.868506,10984,1.0
CICIoT2023,dummy,0.14,18883,16241,0.218397,18883,2684,0.142138,0.13996,0.99,0.130858,0.149288,0.272203,False,True,False,PASS,0.857862,10984,1.0
CICIoT2023,dummy,0.15,18883,16052,0.21298,18883,2866,0.151777,0.149968,0.99,0.140603,0.159562,0.31248,False,True,False,PASS,0.848223,10984,1.0
CICIoT2023,dummy,0.16,18883,15863,0.208048,18883,3071,0.162633,0.159977,0.99,0.150347,0.169782,0.242106,False,True,False,PASS,0.837367,10984,1.0
CICIoT2023,dummy,0.17,18883,15674,0.202836,18883,3243,0.171742,0.169985,0.99,0.160144,0.180056,0.325932,False,True,False,PASS,0.828258,10984,1.0
CICIoT2023,dummy,0.18,18883,15485,0.197333,18883,3472,0.183869,0.179994,0.99,0.169888,0.190277,0.165092,False,True,False,PASS,0.816131,10984,1.0
CICIoT2023,dummy,0.19,18883,15297,0.192722,18883,3652,0.193401,0.189949,0.99,0.179632,0.200445,0.197725,False,True,False,PASS,0.806599,10984,1.0
CICIoT2023,dummy,0.2,18883,15108,0.188022,18883,3838,0.203252,0.199958,0.99,0.18943,0.210666,0.213237,False,True,False,PASS,0.796748,10984,1.0
BoT-IoT,dummy,0.01,18591,18407,0.367014,18591,200,0.010758,0.009951,0.99,0.007423,0.012748,0.220833,False,True,False,PASS,0.989242,683,0.021962
BoT-IoT,dummy,0.02,18591,18221,0.324408,18591,380,0.02044,0.019955,0.99,0.016352,0.023829,0.369957,False,True,False,PASS,0.97956,683,0.035139
BoT-IoT,dummy,0.03,18591,18035,0.298517,18591,585,0.031467,0.029959,0.99,0.02555,0.03464,0.199914,False,True,False,PASS,0.968533,683,0.048316
BoT-IoT,dummy,0.04,18591,17849,0.277793,18591,793,0.042655,0.039963,0.99,0.034856,0.045345,0.096215,False,True,False,PASS,0.957345,683,0.070278
BoT-IoT,dummy,0.05,18591,17663,0.262934,18591,986,0.053036,0.049968,0.99,0.044269,0.055941,0.09048,False,True,False,PASS,0.946964,683,0.095168
BoT-IoT,dummy,0.06,18591,17477,0.251416,18591,1166,0.062719,0.059972,0.99,0.053789,0.06643,0.13514,False,True,False,PASS,0.937281,683,0.112738
BoT-IoT,dummy,0.07,18591,17291,0.239492,18591,1366,0.073476,0.069976,0.99,0.06331,0.076919,0.095672,False,True,False,PASS,0.926524,683,0.127379
BoT-IoT,dummy,0.08,18591,17105,0.229413,18591,1570,0.084449,0.079981,0.99,0.072885,0.087354,0.058528,False,True,False,PASS,0.915551,683,0.147877
BoT-IoT,dummy,0.09,18591,16919,0.220679,18591,1748,0.094024,0.089985,0.99,0.082459,0.097735,0.08917,False,True,False,PASS,0.905976,683,0.163982
BoT-IoT,dummy,0.1,18591,16733,0.213274,18591,1911,0.102792,0.099989,0.99,0.092088,0.108117,0.185793,False,True,False,PASS,0.897208,683,0.178624
BoT-IoT,dummy,0.11,18591,16547,0.205925,18591,2124,0.114249,0.109994,0.99,0.10177,0.118444,0.097036,False,True,False,PASS,0.885751,683,0.187408
BoT-IoT,dummy,0.12,18591,16361,0.199782,18591,2304,0.123931,0.119998,0.99,0.111452,0.128772,0.123642,False,True,False,PASS,0.876069,683,0.197657
BoT-IoT,dummy,0.13,18591,16176,0.194108,18591,2467,0.132699,0.129948,0.99,0.12108,0.139046,0.216775,False,True,False,PASS,0.867301,683,0.206442
BoT-IoT,dummy,0.14,18591,15990,0.188721,18591,2671,0.143672,0.139953,0.99,0.130816,0.14932,0.152492,False,True,False,PASS,0.856328,683,0.221083
BoT-IoT,dummy,0.15,18591,15804,0.183513,18591,2855,0.153569,0.149957,0.99,0.140552,0.159593,0.166401,False,True,False,PASS,0.846431,683,0.228404
BoT-IoT,dummy,0.16,18591,15618,0.178037,18591,3060,0.164596,0.159961,0.99,0.150288,0.169867,0.113197,False,True,False,PASS,0.835404,683,0.245974
BoT-IoT,dummy,0.17,18591,15432,0.173586,18591,3229,0.173686,0.169966,0.99,0.160024,0.180087,0.171403,False,True,False,PASS,0.826314,683,0.262079
BoT-IoT,dummy,0.18,18591,15246,0.168826,18591,3436,0.184821,0.17997,0.99,0.169813,0.190307,0.113388,False,True,False,PASS,0.815179,683,0.272328
BoT-IoT,dummy,0.19,18591,15060,0.164658,18591,3625,0.194987,0.189974,0.99,0.179603,0.200527,0.11059,False,True,False,PASS,0.805013,683,0.282577
BoT-IoT,dummy,0.2,18591,14874,0.160038,18591,3809,0.204884,0.199978,0.99,0.189393,0.210747,0.120088,False,True,False,PASS,0.795116,683,0.29429
UNSW-NB15,dummy,0.01,10112,10012,0.487598,10086,98,0.009716,0.009987,0.99,0.006643,0.013881,0.577673,True,True,False,PASS,0.990284,1216,0.157895
UNSW-NB15,dummy,0.02,10112,9911,0.445294,10086,212,0.021019,0.019974,0.99,0.01517,0.025283,0.300296,False,True,False,PASS,0.978981,1216,0.236842
UNSW-NB15,dummy,0.03,10112,9810,0.417583,10086,298,0.029546,0.029961,0.99,0.024093,0.036387,0.56953,True,True,False,PASS,0.970454,1216,0.299342
UNSW-NB15,dummy,0.04,10112,9709,0.399344,10086,385,0.038172,0.039949,0.99,0.033115,0.047293,0.743297,True,True,False,PASS,0.961828,1216,0.341283
UNSW-NB15,dummy,0.05,10112,9608,0.38338,10086,467,0.046302,0.049936,0.99,0.042336,0.0581,0.886636,True,True,False,PASS,0.953698,1216,0.385691
UNSW-NB15,dummy,0.06,10112,9507,0.372907,10086,542,0.053738,0.059923,0.99,0.051557,0.068808,0.971365,True,True,False,PASS,0.946262,1216,0.410362
UNSW-NB15,dummy,0.07,10112,9406,0.359363,10086,654,0.064842,0.06991,0.99,0.060876,0.079417,0.924936,True,True,False,PASS,0.935158,1216,0.444901
UNSW-NB15,dummy,0.08,10112,9304,0.348173,10086,760,0.075352,0.079996,0.99,0.070395,0.090026,0.891663,True,True,False,PASS,0.924648,1216,0.470395
UNSW-NB15,dummy,0.09,10112,9203,0.339605,10086,849,0.084176,0.089983,0.99,0.079814,0.100535,0.928706,True,True,False,PASS,0.915824,1216,0.494243
UNSW-NB15,dummy,0.1,10112,9102,0.328723,10086,976,0.096768,0.09997,0.99,0.089332,0.111045,0.77836,True,True,False,PASS,0.903232,1216,0.523849
UNSW-NB15,dummy,0.11,10112,9001,0.321841,10086,1062,0.105294,0.109957,0.99,0.09885,0.121555,0.858119,True,True,False,PASS,0.894706,1216,0.542763
UNSW-NB15,dummy,0.12,10112,8900,0.313393,10086,1174,0.116399,0.119945,0.99,0.108368,0.131965,0.783258,True,True,False,PASS,0.883601,1216,0.570724
UNSW-NB15,dummy,0.13,10112,8799,0.306082,10086,1284,0.127305,0.129932,0.99,0.117985,0.142276,0.712376,True,True,False,PASS,0.872695,1216,0.587171
UNSW-NB15,dummy,0.14,10112,8698,0.298801,10086,1395,0.138311,0.139919,0.99,0.127503,0.152687,0.630492,True,True,False,PASS,0.861689,1216,0.611842
UNSW-NB15,dummy,0.15,10112,8597,0.293441,10086,1488,0.147531,0.149906,0.99,0.137121,0.162998,0.683429,True,True,False,PASS,0.852469,1216,0.623355
UNSW-NB15,dummy,0.16,10112,8495,0.286766,10086,1610,0.159627,0.159992,0.99,0.146936,0.173508,0.529437,True,True,False,PASS,0.840373,1216,0.648849
UNSW-NB15,dummy,0.17,10112,8394,0.282569,10086,1686,0.167162,0.169979,0.99,0.156554,0.183819,0.704683,True,True,False,PASS,0.832838,1216,0.659539
UNSW-NB15,dummy,0.18,10112,8293,0.277909,10086,1768,0.175292,0.179966,0.99,0.16627,0.194031,0.808501,True,True,False,PASS,0.824708,1216,0.671875
UNSW-NB15,dummy,0.19,10112,8192,0.272524,10086,1863,0.184711,0.189954,0.99,0.175887,0.204343,0.83102,True,True,False,PASS,0.815289,1216,0.680099
UNSW-NB15,dummy,0.2,10112,8091,0.267267,10086,1968,0.195122,0.199941,0.99,0.185604,0.214555,0.806112,True,True,False,PASS,0.804878,1216,0.694079
